City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,fort mcmurray,56.7268,-111.381,24.77,53,0,3.6,CA,1690259436
125,hilo,19.7297,-155.09,30.71,78,100,3.6,US,1690259046
126,coquimbo,-29.9533,-71.3436,12.85,87,0,1.03,CL,1690258969
127,peace river,56.2501,-117.286,16.17,94,100,2.06,CA,1690259474
128,sechura,-5.5569,-80.8222,22.03,77,100,6.03,PE,1690259020
129,vorkuta,67.5,64.0,19.99,65,87,1.78,RU,1690259434
130,leninskoye,41.7589,69.3864,36.88,15,0,2.75,KZ,1690259459
131,sisimiut,66.9395,-53.6735,5.03,90,56,6.24,GL,1690259011
132,san patricio,28.017,-97.5169,29.92,72,54,4.47,US,1690258963
133,bikenibeu village,1.3673,173.1241,30.98,70,40,1.03,KI,1690258997
134,bonthe,7.5264,-12.505,24.71,89,100,2.24,SL,1690259473
135,fisterra,42.9049,-9.2629,13.75,74,14,5.0,ES,1690258943
136,galliano,29.4422,-90.2992,26.11,88,0,0.0,US,1690258978
137,bardsir,29.9227,56.5743,28.38,12,3,2.7,IR,1690259510
138,alaghsas,17.0187,8.0168,27.96,56,68,2.96,NE,1690259488
139,hood river,45.7054,-121.5215,22.33,64,0,3.58,US,1690259405
140,hooper,41.1638,-112.1224,27.08,44,0,4.63,US,1690259416
141,qaqortoq,60.7167,-46.0333,5.31,92,94,2.26,GL,1690258920
142,keflavik,64.0049,-22.5624,9.95,93,100,0.51,IS,1690258945
143,howard springs,-12.497,131.047,24.34,17,95,4.98,AU,1690258917
144,sorong,-0.8833,131.25,28.68,71,47,8.26,ID,1690259512
145,madanapalle,13.55,78.5,22.32,80,100,9.41,IN,1690259406
146,albany,42.6001,-73.9662,20.03,90,19,1.2,US,1690258758
147,afaahiti,-17.75,-149.2833,25.93,82,5,7.77,PF,1690258973
148,olyokminsk,60.3736,120.4264,33.59,26,3,0.53,RU,1690258952
149,kavaratti,10.5669,72.642,28.28,76,99,7.44,IN,1690259044
150,portstewart,55.1813,-6.714,10.99,87,81,4.04,GB,1690259513
151,ploneour-lanvern,47.9,-4.2833,14.18,88,100,3.09,FR,1690259513
152,pacific grove,36.6177,-121.9166,18.9,80,0,3.09,US,1690258912
153,la serena,-29.9078,-71.2542,12.73,87,0,1.03,CL,1690259513
154,santa ines,-3.6667,-45.38,22.2,75,3,0.45,BR,1690259514
155,troitskiy,57.0603,63.7481,22.42,55,66,2.83,RU,1690259514
156,port elizabeth,-33.918,25.5701,4.16,87,0,1.03,ZA,1690258956
157,lishu,43.3047,124.3278,26.79,77,98,5.58,CN,1690259515
158,northam,51.0333,-4.2167,13.12,89,98,3.22,GB,1690258962
159,hotan,37.0997,79.9269,31.67,23,94,6.06,CN,1690258969
160,ma'rib,15.4591,45.3253,33.35,27,100,5.04,YE,1690259515
161,tofol,5.3248,163.0078,28.59,77,85,5.77,FM,1690259515
162,papatowai,-46.5619,169.4708,7.72,80,82,7.51,NZ,1690258915
163,kodiak,57.79,-152.4072,13.73,72,0,5.66,US,1690258941
164,namdrik,5.5994,168.1028,28.4,78,48,4.97,MH,1690259516
165,ola,59.5833,151.2833,25.08,60,3,3.14,RU,1690258988
166,mejit,10.2753,170.8646,28.39,79,100,8.26,MH,1690259470
167,olinda,-8.0089,-34.8553,22.85,94,75,4.63,BR,1690259516
168,egilsstadir,65.2653,-14.3948,4.95,93,100,2.06,IS,1690259517
169,okha,53.5739,142.9478,18.36,70,57,5.37,RU,1690259517
170,barcelos,41.5388,-8.6151,14.95,94,5,2.17,PT,1690259518
171,enewetak,11.3474,162.3373,28.91,78,45,6.85,MH,1690259035
172,hargeysa,9.56,44.065,22.56,56,100,14.51,SO,1690259518
173,hammerfest,70.6634,23.6821,12.25,87,75,4.12,NO,1690258925
174,stanley,54.868,-1.6985,9.88,91,0,2.06,GB,1690258952
175,labrador city,52.9463,-66.9114,16.95,67,100,2.06,CA,1690259003
176,guerrero negro,27.9769,-114.0611,20.95,76,77,6.23,MX,1690258991
177,tuy hoa,13.0833,109.3,33.67,51,74,3.53,VN,1690259519
178,avarua,-21.2078,-159.775,23.03,73,75,2.57,CK,1690259519
179,prince rupert,54.3161,-130.3201,14.05,94,20,1.03,CA,1690259002
180,la'ie,21.6477,-157.9253,28.98,76,20,6.93,US,1690259520
181,margaret river,-33.95,115.0667,14.98,90,100,7.23,AU,1690258937
182,orapa,-21.2833,25.3667,12.63,37,18,3.8,BW,1690259520
183,camapua,-19.5314,-54.0439,19.38,45,4,2.14,BR,1690259520
184,port saint john's,-31.6229,29.5448,12.07,72,0,2.67,ZA,1690258968
185,hailar,49.2,119.7,25.6,54,79,2.56,CN,1690259521
186,anar darah,32.7587,61.654,33.86,13,12,1.71,AF,1690259521
187,malmberget,67.1753,20.6549,9.31,93,75,2.06,SE,1690259454
188,lorengau,-2.0226,147.2712,25.04,92,100,5.38,PG,1690259001
189,bakanas,44.8081,76.2772,35.98,11,0,4.07,KZ,1690259522
190,geraldton,-28.7667,114.6,17.23,45,100,5.66,AU,1690259478
191,chonchi,-42.6128,-73.8092,7.84,91,66,2.96,CL,1690258959
192,tumayr,25.7039,45.868,35.76,8,100,2.0,SA,1690259522
193,minbu,20.1833,94.8833,34.84,48,79,3.66,MM,1690259523
